"dataset_identifier","file_name","individual_id","keepornot","scientific_name","common_name","abbreviated_name","sex","age_class","device_id","device_type","deployment_site","deployment_year","deployment_month","deployment_day","deployment_time","deployment_decimal_longitude","deployment_decimal_latitude","data_contact","contact_email","comments"
"10.1594/PANGAEA.633712","DDU2005_emp_a_f_18a","DDU2005_emp_a_f_18a","Discard","Aptenodytes forsteri","Emperor penguin","EMPE","F","Adult","60047","PTT","Pointe Geologie, Terre Adelie",2005,11,13,"5:25",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_x_17","DDU2005_emp_a_x_17","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","U","Adult","60046","PTT","Pointe Geologie, Terre Adelie",2005,11,13,"5:00",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_f_18b","DDU2005_emp_a_f_18b","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","F","Adult","60037","PTT","Pointe Geologie, Terre Adelie",2005,11,22,"8:37",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.633712","DDU2005_emp_a_f_19","DDU2005_emp_a_f_19","Keep","Aptenodytes forsteri","Emperor penguin","EMPE","F","Adult","60047","PTT","Pointe Geologie, Terre Adelie",2005,11,29,"3:00",140.01667,-66.66667,"AWI (Horst Bornemann)","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.633712"
"10.1594/PANGAEA.819980","cs_Germany.csv","261727_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261727","PTT","Drescher Inlet, Weddell Sea",1998,1,28,"",-19.251,-72.848,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261728_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261728","PTT","Drescher Inlet, Weddell Sea",1998,1,29,"",-19.044,-72.86,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261731_cs_Germany.csv","Keep","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261731","PTT","Drescher Inlet, Weddell Sea",1998,2,1,"",-19.427,-72.9,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261725_cs_Germany.csv","Keep","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261725","PTT","Drescher Inlet, Weddell Sea",1998,2,2,"",-18.857,-72.916,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261730_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261730","PTT","Drescher Inlet, Weddell Sea",1998,2,2,"",-19.033,-72.878,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261735_cs_Germany.csv","Keep","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261735","PTT","Drescher Inlet, Weddell Sea",1998,2,2,"",-19.116,-72.869,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261736_cs_Germany.csv","Keep","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261736","PTT","Drescher Inlet, Weddell Sea",1998,2,2,"",-19.161,-72.813,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261729_cs_Germany.csv","Keep","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261729","PTT","Drescher Inlet, Weddell Sea",1998,2,3,"",-18.912,-72.902,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261733_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261733","PTT","Drescher Inlet, Weddell Sea",1998,2,3,"",-19.076,-72.826,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261726_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261726","PTT","Drescher Inlet, Weddell Sea",1998,2,5,"",-19.378,-72.85,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261734_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261734","PTT","Drescher Inlet, Weddell Sea",1998,2,5,"",-19.629,-72.82,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","264706_cs_Germany.csv","Keep","Lobodon carcinophaga","Crabeater seal","CRAS","U","","264706","PTT","Drescher Inlet, Weddell Sea",1998,2,7,"",-20.83,-72.987,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"10.1594/PANGAEA.819980","cs_Germany.csv","261732_cs_Germany.csv","Discard","Lobodon carcinophaga","Crabeater seal","CRAS","U","","261732","PTT","Drescher Inlet, Weddell Sea",1998,2,8,"",-23.366,-72.605,"Horst Bornemann","Horst.Bornemann@awi.de","doi: 10.1594/PANGAEA.819980"
"AADC_campaign_1","campaign67","M1_44555","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44555","PTT","Capsize Beach, Heard Island",2003,12,19,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign68","M10_29987","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign75","M11_44557","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44557","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign76","M13_44554","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44554","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign77","M14_28947","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","28947","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign78","M15_44552","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44552","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign79","M16_44550","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44550","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign80","M18_44547","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44547","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign81","M19_44551","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44551","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign82","M2_25846","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","25846","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign83","M20_44548","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44548","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign99","M4_29817","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29817","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign110","M5_44549","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44549","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign137","M8_26139","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign145","M9_44553","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2003,12,20,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign84","M22_44547","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44547","PTT","Capsize Beach, Heard Island",2003,12,22,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign85","M24_25876","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","25876","PTT","Capsize Beach, Heard Island",2003,12,22,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign86","M25_26139","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2003,12,22,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign89","M3_29811","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29811","PTT","Capsize Beach, Heard Island",2003,12,22,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign129","M7_44556","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44556","PTT","Capsize Beach, Heard Island",2003,12,22,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign87","M26_44549","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44549","PTT","Capsize Beach, Heard Island",2003,12,23,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign88","M28_29817","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29817","PTT","Capsize Beach, Heard Island",2003,12,23,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign90","M30_44554","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44554","PTT","Capsize Beach, Heard Island",2003,12,24,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign91","M32_25876","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","25876","PTT","Capsize Beach, Heard Island",2003,12,24,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign92","M33_44553","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2003,12,24,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign93","M34_29987","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2003,12,24,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign94","M35_26139","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2003,12,25,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign96","M37_44555","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44555","PTT","Capsize Beach, Heard Island",2003,12,25,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign97","M38_29817","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29817","PTT","Capsize Beach, Heard Island",2003,12,25,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign100","M40_44547","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44547","PTT","Capsize Beach, Heard Island",2003,12,25,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign95","M36_44551","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44551","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign98","M39_28947","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","28947","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign102","M42_44552","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44552","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign103","M43_44553","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign104","M44_44548","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44548","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign105","M45_29987","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign106","M46_44550","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44550","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign107","M47_26139","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2003,12,26,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign108","M48_25876","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","25876","PTT","Capsize Beach, Heard Island",2003,12,27,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign111","M50_29817","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29817","PTT","Capsize Beach, Heard Island",2003,12,27,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign114","M53_44547","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44547","PTT","Capsize Beach, Heard Island",2003,12,27,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign112","M51_44549","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44549","PTT","Capsize Beach, Heard Island",2003,12,28,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign113","M52_29987","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2003,12,28,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign115","M54_44553","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2003,12,29,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign116","M55_26139","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2003,12,29,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign117","M56_44548","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44548","PTT","Capsize Beach, Heard Island",2003,12,29,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign119","M58_29817","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29817","PTT","Capsize Beach, Heard Island",2003,12,29,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign109","M49_44557","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44557","PTT","Capsize Beach, Heard Island",2003,12,30,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign120","M60_44553","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2003,12,31,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign121","M61_26139","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2003,12,31,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign122","M62_29987","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2003,12,31,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign124","M64_44548","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44548","PTT","Capsize Beach, Heard Island",2004,1,1,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign125","M65_25876","Discard","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","25876","PTT","Capsize Beach, Heard Island",2004,1,1,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign126","M66_44555","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44555","PTT","Capsize Beach, Heard Island",2004,1,1,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign128","M69_44553","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2004,1,2,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign131","M71_44552","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44552","PTT","Capsize Beach, Heard Island",2004,1,4,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign132","M72_44547","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44547","PTT","Capsize Beach, Heard Island",2004,1,4,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign134","M76_44548","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44548","PTT","Capsize Beach, Heard Island",2004,1,4,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign135","M77_44549","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44549","PTT","Capsize Beach, Heard Island",2004,1,4,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign130","M70_26139","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","26139","PTT","Capsize Beach, Heard Island",2004,1,5,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign136","M78_44548","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44548","PTT","Capsize Beach, Heard Island",2004,1,13,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign138","M80_29987","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2004,1,13,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign140","M82_44555","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44555","PTT","Capsize Beach, Heard Island",2004,1,13,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign141","M83_44550","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44550","PTT","Capsize Beach, Heard Island",2004,1,13,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign142","M84_44553","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44553","PTT","Capsize Beach, Heard Island",2004,1,13,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign143","M87_29987","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","29987","PTT","Capsize Beach, Heard Island",2004,1,16,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign144","M88_44552","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44552","PTT","Capsize Beach, Heard Island",2004,1,16,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign146","M90_28947","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","28947","PTT","Capsize Beach, Heard Island",2004,1,17,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign147","M92_25846","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","25846","PTT","Capsize Beach, Heard Island",2004,1,17,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign148","M93_44551","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44551","PTT","Capsize Beach, Heard Island",2004,1,17,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
"AADC_campaign_1","campaign150","M95_44555","Keep","Eudyptes chrysolophus","Macaroni penguin","MAPE","U","","44555","PTT","Capsize Beach, Heard Island",2004,1,18,"",73.643,-53.162,"Mark Hindell","Ben.Raymond@aad.gov.au",""
